NUMCP;NOMAGENT;PRENOM;ID Etablissement;ID UO;Régime;Assermentation;CODEGRADE;DATEDEBUTGRADE;DATEFINGRADE;CODENIVEAU;DATEDEBUTNIVEAU;DATEFINNIVEAU;CODEQUALIFICATION;DATEDEBUTQUALIF;DATEFINQUALIF;CODEPOSITION;DATEDEBUTPOSITION;DATEFINPOSITION;CODEECHELON;DATEDEBUTECHELON;DATEFINECHELON;Famille;Date début Famille;Date fin Famille;Typologie Agent;Date début Typologie;Date fin Typologie;Equipe;Date début Equipe;Date Fin Equipe;Résidence;Date début Résidence;Date fin Résidence;Date début en Production;Compétence Langue 1;Date début Comp Langue 1;Date fin Comp Langue 1;Compétence Langue 2;Date début Comp Langue 2;Date fin Comp Langue 2;Compténce Train 1;Date début Comp Train 1;Date fin Comp Train 1;Compténce Train 2;Date début Comp Train 2;Date début Comp Train 2;Compétence Traction 1;Date début Comp Traction 1;Date fin Comp Traction 1;Point de Vente;N° de recette;Tél Complémentaire
2205496X;NOM ADC 21;YANNICK;390112;390002;R;O;CBORMP;01/04/2003;31/12/2300;2;01/01/1998;31/12/2300;D;01/07/1992;31/12/2300;18;01/04/2003;31/12/2300;10;01/02/2010;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;14;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;04/07/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;OUIGO;01/04/2000;31/12/2300;;;;;;;23456789;11;645859615
2210115H;NOM ADC 22;BENEDICTE;390112;390002;R;O;CBORMP;06/07/2015;31/12/2300;1;01/03/1999;31/12/2300;C;01/03/1999;31/12/2300;16;06/07/2015;31/12/2300;8;01/01/2002;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;14;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;05/07/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;OUIGO;01/04/2000;31/12/2300;;;;;;;23456789;12;645859616
2201681W;NOM ADC 23;AURELIE;390112;390002;R;O;CBORP;01/07/2017;31/12/2300;1;01/09/2000;31/12/2300;B;01/09/2000;31/12/2300;12;01/07/2017;31/12/2300;5;01/09/2013;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;14;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;06/07/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;OUIGO;01/04/2000;31/12/2300;;;;;;;23456789;13;645859617
2202439T;NOM ADC 24;HELENE;390112;390002;R;O;CBORM;01/06/2016;31/12/2300;1;01/01/2003;31/12/2300;C;01/01/2003;31/12/2300;14;01/06/2016;31/12/2300;9;01/01/2015;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;14;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;07/07/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;OUIGO;01/04/2000;31/12/2300;;;;;;;23456789;14;645859618
2201471J;NOM UO 390002 RET4;DENIS;390112;390002;R;O;CBORMP;06/07/2015;31/12/2300;1;01/04/2003;31/12/2300;D;01/04/2003;31/12/2300;17;06/07/2015;31/12/2300;10;01/09/2010;31/12/2300;ADC;01/04/2000;31/12/2300;D;01/04/2000;31/12/2300;14;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;08/07/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;OUIGO;01/04/2000;31/12/2300;;;;;;;23456789;15;645859619
2206313G;NOM ADC 26;STEEVE;390112;390002;R;O;CBOR;06/07/2015;31/12/2300;2;01/06/2002;31/12/2300;B;01/03/2002;31/12/2300;11;06/07/2015;31/12/2300;6;06/07/2015;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;15;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;09/07/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;OUIGO;01/04/2000;31/12/2300;;;;;;;23456789;16;645859620
2213710M;NOM ADC 27;FRANCOIS;390112;390002;R;O;CBORMP;01/07/2017;31/12/2300;1;01/07/1999;31/12/2300;C;01/07/1999;31/12/2300;16;01/07/2017;31/12/2300;10;01/11/2012;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;15;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;10/07/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;OUIGO;01/04/2000;31/12/2300;;;;;;;23456789;17;645859621
2201329T;NOM ADC 28;JULIEN;390112;390002;R;O;CBORP;01/07/2017;31/12/2300;2;01/09/1999;31/12/2300;B;01/09/1999;31/12/2300;12;01/07/2017;31/12/2300;5;01/09/2012;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;15;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;11/07/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;23456789;18;645859622
2202945U;NOM ADC 29;PHILIPPE;390112;390002;R;O;CBORM;10/06/2015;31/12/2300;1;01/10/1999;31/12/2300;C;01/10/1999;31/12/2300;15;10/06/2015;31/12/2300;10;01/07/2015;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;15;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;12/07/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;23456789;19;645859623
2209530F;NOM ADC 30;OLIVIER;390112;390002;R;O;CBORP;02/02/2011;31/12/2300;1;01/08/2001;31/12/2300;C;01/08/2001;31/12/2300;12;02/02/2011;31/12/2300;7;01/10/2002;31/12/2300;ADC;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;15;01/04/2000;31/12/2300;LRY;01/04/2000;31/12/2300;13/07/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;23456789;20;645859624
1109973W;NOMASCT01;JEAN FRANCOIS;870410;870401;R;O;CBORMP;01/04/2018;31/12/2300;1;01/05/2003;31/12/2300;D;01/05/2003;31/12/2300;19;01/04/2018;31/12/2300;10;01/08/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;14/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;1;645859625
1108768X;NOMASCT02;NADIA;870410;870401;R;O;CBORMP;01/04/2018;31/12/2300;1;01/07/2000;31/12/2300;C;01/07/2000;31/12/2300;17;01/04/2018;31/12/2300;7;01/08/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;15/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;2;645859626
1114568R;NOMASCT03;MARIE CHRISTINE;870410;870401;R;O;CBORMP;01/04/2017;31/12/2300;1;01/07/1997;31/12/2300;C;01/07/1997;31/12/2300;16;01/04/2017;31/12/2300;9;01/04/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;16/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;3;645859627
1108713B;NOMASCT04;PATRICK;870410;870401;R;O;CBORP;01/06/2015;31/12/2300;1;01/06/2001;31/12/2300;C;01/06/2001;31/12/2300;13;01/06/2015;31/12/2300;10;01/07/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;17/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;4;645859628
1108887E;NOMASCT05;STEPHANE;870410;870401;R;O;CBOR;01/04/2013;31/12/2300;2;01/03/2002;31/12/2300;B;01/03/2002;31/12/2300;11;01/04/2013;31/12/2300;4;01/03/2010;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;18/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;5;645859629
1112976B;NOMASCT06;JACKY;870410;870401;R;O;CBORM;01/06/2015;31/12/2300;1;01/07/2002;31/12/2300;C;01/07/2002;31/12/2300;14;01/06/2015;31/12/2300;8;01/01/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;19/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;6;645859630
1101193N;NOMASCT07;EDOUARD;870410;870401;R;O;CBORP;01/06/2015;31/12/2300;2;01/12/2001;31/12/2300;B;01/12/2000;31/12/2300;12;01/06/2015;31/12/2300;6;01/07/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;20/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;7;645859631
1101454Y;NOMASCT08;LAURA;870410;870401;R;O;ACTP;06/07/2015;31/12/2300;1;21/06/2006;31/12/2300;B;21/06/2006;31/12/2300;8;06/07/2015;31/12/2300;2;06/07/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;21/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;8;645859632
1105214K;NOMASCT09;PHILIPPE;870410;870401;R;O;CBORP;01/06/2015;31/12/2300;1;01/01/2000;31/12/2300;C;01/01/2000;31/12/2300;14;01/06/2015;31/12/2300;10;01/06/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;22/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;9;645859633
1108103Z;NOMASCT10;NATACHA;870410;870401;R;O;CBORP;04/01/2017;31/12/2300;1;01/02/1999;31/12/2300;B;01/02/1999;31/12/2300;13;04/01/2017;31/12/2300;7;04/01/2017;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;23/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;10;645859634
1112121T;NOMASCT11;SYLVIE;870410;870401;R;O;CBORP;01/04/2014;31/12/2300;1;01/04/2000;31/12/2300;C;01/04/2000;31/12/2300;14;01/04/2014;31/12/2300;9;01/02/2016;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;24/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;11;645859635
1110099H;NOMASCT12;LUC;870410;870401;R;O;CBORMP;01/04/2013;31/12/2300;2;01/04/2001;31/12/2300;C;01/04/1998;31/12/2300;17;01/04/2013;31/12/2300;10;01/09/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;25/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;12;645859636
1108797H;NOMASCT13;PHILIPPE;870410;870401;R;O;CBORP;01/04/2016;31/12/2300;2;01/07/2001;31/12/2300;B;01/12/1996;31/12/2300;13;01/04/2016;31/12/2300;7;01/06/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;26/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;13;645859637
1106105K;NOMASCT14;STEPHANIE;870410;870401;R;O;CBORP;01/04/2014;31/12/2300;2;01/04/2001;31/12/2300;B;01/04/2000;31/12/2300;13;01/04/2014;31/12/2300;6;01/08/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;27/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;14;645859638
1105542F;NOMASCT15;MAGALI;870410;870401;R;O;CBOR;01/08/2009;31/12/2300;2;01/03/2002;31/12/2300;B;01/09/2001;31/12/2300;11;01/08/2009;31/12/2300;6;01/09/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;28/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;15;645859639
1109871S;NOMASCT16;PIERRE;870410;870401;R;O;ACTP;01/05/2017;31/12/2300;2;01/04/2004;31/12/2300;B;01/04/2002;31/12/2300;10;01/05/2017;31/12/2300;5;01/11/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;29/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;16;645859640
1109217T;NOMASCT17;PATRICK;870410;870401;R;O;CBOR;01/10/2012;31/12/2300;2;01/03/2003;31/12/2300;B;01/03/2002;31/12/2300;11;01/10/2012;31/12/2300;5;01/03/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;30/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;17;645859641
1106668J;NOMASCT18;DELPHINE;870410;870401;R;O;ACTP;01/01/2015;31/12/2300;2;01/06/2001;31/12/2300;B;01/06/2001;31/12/2300;11;01/01/2015;31/12/2300;5;01/06/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;31/07/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;18;645859642
1107530J;NOMASCT19;CHARLES;870410;870401;R;O;CBORM;01/12/2015;31/12/2300;2;01/09/2001;31/12/2300;B;01/09/2000;31/12/2300;14;01/12/2015;31/12/2300;7;01/03/2017;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;01/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;19;645859643
1110515B;NOMASCT20;PATRICK;870410;870401;R;O;CBORP;01/01/2014;31/12/2300;2;01/01/2001;31/12/2300;B;01/06/1992;31/12/2300;13;01/01/2014;31/12/2300;8;01/01/2011;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;02/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;20;645859644
1109800M;NOMASCT21;ARMEL;870410;870401;R;O;CBORMP;01/10/2013;31/12/2300;2;01/12/2000;31/12/2300;C;01/01/1994;31/12/2300;16;01/10/2013;31/12/2300;10;01/03/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;03/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;21;645859645
1105323Y;NOMASCT22;CELINE;870410;870401;R;O;CBORM;01/07/2013;31/12/2300;1;01/01/2003;31/12/2300;C;01/01/2003;31/12/2300;14;01/07/2013;31/12/2300;6;01/11/2009;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;04/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;22;645859646
1109253D;NOMASCT23;OLIVIER;870410;870401;R;O;CBORP;01/04/2015;31/12/2300;2;01/10/1998;31/12/2300;B;01/01/1998;31/12/2300;13;01/04/2015;31/12/2300;6;01/01/2011;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;05/08/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;23;645859647
1110250X;NOMASCT24;PATRICE;870410;870401;R;O;CBORM;01/04/2012;31/12/2300;1;01/04/2000;31/12/2300;C;01/04/2000;31/12/2300;14;01/04/2012;31/12/2300;10;01/10/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;06/08/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;24;645859648
1113946Y;NOMASCT25;CHRISTOPHE;870410;870401;R;O;CBORMP;01/10/2012;31/12/2300;2;01/04/2001;31/12/2300;C;01/10/1995;31/12/2300;16;01/10/2012;31/12/2300;10;01/10/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;07/08/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;25;645859649
1110045H;NOMASCT26;PHILIPPE;870410;870401;R;O;CBORMP;01/04/2013;31/12/2300;1;01/10/1999;31/12/2300;C;01/10/1999;31/12/2300;16;01/04/2013;31/12/2300;10;01/12/2011;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;08/08/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;26;645859650
1107364X;NOMASCT27;THIERRY;870410;870401;R;O;CBORP;01/04/2014;31/12/2300;1;01/03/2003;31/12/2300;C;01/03/2003;31/12/2300;13;01/04/2014;31/12/2300;9;01/12/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;09/08/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;27;645859651
1106659X;DUO1 ECT;PRENOM;870410;870401;R;O;CBORM;01/09/2010;31/12/2300;1;01/01/2000;31/12/2300;C;01/01/2000;31/12/2300;15;01/09/2010;31/12/2300;9;01/01/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;F;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;10/08/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;28;645859652
1108061S;NOMASCT29;JEROME;870410;870401;R;O;CBORM;01/08/2012;31/12/2300;1;01/07/2000;31/12/2300;C;01/07/2000;31/12/2300;15;01/08/2012;31/12/2300;9;01/07/2016;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;11/08/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;29;645859653
1110499A;NOMASCT30;PHILIPPE;870410;870401;R;O;CBORM;01/01/2014;31/12/2300;1;01/04/2003;31/12/2300;C;01/04/2003;31/12/2300;13;01/01/2014;31/12/2300;9;01/09/2016;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;21;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;12/08/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;30;645859654
1207502L;NOMASCT555;SEBASTIEN;870410;870402;R;O;CBOR;01/04/2013;31/12/2300;2;01/03/2002;31/12/2300;B;01/03/2002;31/12/2300;11;01/04/2013;31/12/2300;5;01/03/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;13/08/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;31;645859655
1212068C;NOMASCT556;ARNAUD;870410;870402;R;O;CBORMP;01/04/2013;31/12/2300;2;01/10/2003;31/12/2300;C;01/03/1997;31/12/2300;17;01/04/2013;31/12/2300;9;01/09/2007;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;14/08/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;32;645859656
1201793A;NOMASCT557;DIDIER;870410;870402;R;O;CBORM;01/05/2014;31/12/2300;1;01/04/2001;31/12/2300;C;01/04/2001;31/12/2300;14;01/05/2014;31/12/2300;10;01/07/2012;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;15/08/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;33;645859657
1206100K;NOMASCT558;MARIE LAURE;870410;870402;R;O;CBORM;01/04/2014;31/12/2300;1;01/11/2002;31/12/2300;C;01/11/2002;31/12/2300;14;01/04/2014;31/12/2300;9;01/10/2014;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;16/08/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;34;645859658
1207209K;NOMASCT559;EUGENIE;870410;870402;R;O;CBOR;01/04/2008;31/12/2300;2;01/12/2000;31/12/2300;B;01/04/2000;31/12/2300;11;01/04/2008;31/12/2300;2;01/04/2002;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;17/08/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;35;645859659
1201954B;NOMASCT560;CHRYSTELLE;870410;870402;R;O;CBORP;01/09/2012;31/12/2300;2;01/10/2003;31/12/2300;B;01/03/2002;31/12/2300;12;01/09/2012;31/12/2300;6;01/03/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;18/08/2000;SP;01/04/2000;31/12/2300;DD;01/04/2000;31/12/2300;X4300;01/04/2000;31/12/2300;;;;;;;45679011;36;645859660
1207364G;NOMASCT561;AURELIE;870410;870402;R;O;ACTP;01/04/2017;31/12/2300;1;01/01/2003;31/12/2300;B;01/01/2003;31/12/2300;11;01/04/2017;31/12/2300;6;01/01/2017;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;19/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;37;645859661
1208179Y;NOMASCT562;ISABELLE;870410;870402;R;O;CBORP;01/04/2013;31/12/2300;1;01/09/2002;31/12/2300;C;01/09/2002;31/12/2300;13;01/04/2013;31/12/2300;7;01/09/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;20/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;38;645859662
1207235D;NOMASCT563;DOMINIQUE;870410;870402;R;O;CBORM;01/06/2015;31/12/2300;1;01/07/1999;31/12/2300;C;01/07/1999;31/12/2300;14;01/06/2015;31/12/2300;10;01/07/2011;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;21/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;39;645859663
1209755Z;NOMASCT564;NATHALIE;870410;870402;R;O;CBORP;01/07/2017;31/12/2300;1;01/12/1998;31/12/2300;B;01/12/1998;31/12/2300;12;01/07/2017;31/12/2300;7;01/06/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;22/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;40;645859664
1216589S;NOMASCT565;ABDERROZAK;870410;870402;R;O;CBORM;29/12/2016;31/12/2300;1;01/02/2003;31/12/2300;C;01/02/2003;31/12/2300;15;29/12/2016;31/12/2300;10;01/12/2017;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;23/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;41;645859665
1213256B;NOMASCT566;PASCAL;870410;870402;R;O;CBORP;01/01/2013;31/12/2300;2;01/07/2003;31/12/2300;B;01/04/2000;31/12/2300;12;01/01/2013;31/12/2300;6;01/04/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;24/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;42;645859666
1206536D;NOM UO 870402 RET2 OBS;FREDERIC;870410;870402;R;O;CBORP;01/07/2017;31/12/2300;1;01/05/2001;31/12/2300;B;01/05/2001;31/12/2300;12;01/07/2017;31/12/2300;6;01/09/2013;31/12/2300;ASCT;01/04/2000;31/12/2300;E;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;25/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;43;645859667
1208572E;NOMASCT568;ERIC;870410;870402;R;O;CBORM;01/05/2018;31/12/2300;2;01/09/1999;31/12/2300;B;01/09/1998;31/12/2300;14;01/05/2018;31/12/2300;7;01/03/2015;31/12/2300;ASCT;01/04/2000;31/12/2300;A;01/04/2000;31/12/2300;22;01/04/2000;31/12/2300;BYE;01/04/2000;31/12/2300;26/08/2000;GB;01/04/2000;31/12/2300;;;;X2100;01/04/2000;31/12/2300;;;;;;;45679011;44;645859668
